ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
CRBN-DDB1-CUL4A-RBX1 E3 ubiquitin ligase	P62877;Q13619;Q16531;Q96SW2	9978;8451;1642;51185	ubiquitin protein ligase activity;ubiquitin ligase complex;system development	None	RBX1;CUL4A;DDB1;CRBN	None	"Half a century ago, thalidomide was widely prescribed to pregnant women as a sedative but was found to be teratogenic, causing multiple birth defects. Cereblon (CRBN) was identified as a thalidomide-binding protein. Thalidomide initiates its teratogenic effects by binding to CRBN and inhibiting the associated ubiquitin ligase activity."	None
EXT1-EXT2 complex	Q16394;Q93063	2131;2132	Golgi apparatus;heparan sulfate proteoglycan biosynthetic process	Golgi	EXT1;EXT2	None	"EXT1 and EXT2 possess GlcA-T and GlcNAc-T activities in vitro. Compared to ETX1 or EXT2 homodimers, the EXT1-EXT2 complex possesses enhanced glycosyltransferase activity."	Inherited mutations in either of the two EXT genes can result in hereditary multiple exostoses.
Fanconi anemia FAAP100 complex	O15287;O15360;Q00597;Q0VG06;Q8IYD8;Q8NB91;Q9BTP7;Q9HB96;Q9NPI8;Q9NW38	2189;2175;2176;80233;57697;2187;91442;2178;2188;55120	cellular response to DNA damage stimulus;nucleus;protein monoubiquitination	DNA damage response;nucleus	FANCG;FANCA;FANCC;FAAP100;FANCM;FANCB;FAAP24;FANCE;FANCF;FANCL	None	None	None
L-B-P100 subcomplex	Q0VG06;Q8NB91;Q9NW38	80233;2187;55120	nucleus;cytoplasm	nucleus;cytoplasm	FAAP100;FANCB;FANCL	None	"L-B-P100 subcomplex is part of the Fanconi anemia core complex. According to a model, the L-B-P100 complex is normally present in the cytosol, and moves to the nucleus when it is associated with FANCA and FANCM."	None
AUP1-OS9-SEL1L-UBC6e-UBXD8 complex	Q13438;Q96CS3;Q9UBV2;Q9Y385;Q9Y679	10956;23197;6400;51465;550	"retrograde protein transport, ER to cytosol;ERAD pathway;endoplasmic reticulum membrane"	None	OS9;FAF2;SEL1L;UBE2J1;AUP1	None	None	None
v-ATPase-Ragulator-AXIN/LKB1-AMPK complex	O15169;O43504;P21281;P27449;P38606;P54619;P61421;Q0VGL1;Q13131;Q15831;Q6IAA8;Q9UHA4;Q9Y2Q5;Q9Y478	8312;10542;526;527;523;5571;9114;389541;5562;6794;55004;8649;28956;5564	endosome;regulation of energy homeostasis	endosome	AXIN1;LAMTOR5;ATP6V1B2;ATP6V0C;ATP6V1A;PRKAG1;ATP6V0D1;LAMTOR4;PRKAA1;STK11;LAMTOR1;LAMTOR3;LAMTOR2;PRKAB1	"Since the authors did not specify AMPK, we used isoforms Prkaa1, Prkab1 and Prkag1."	"v-ATPase-Ragulator complex is an initiating sensor for energy stress and meanwhile serves as an endosomal docking site for LKB1-mediated AMPK activation by forming the v-ATPase-Ragulator-AXIN/LKB1-AMPK complex, thereby providing a switch between catabolism and anabolism."	None
TSC complex	P49815;Q92574;Q9P0N9	7249;7248;107080638	lysosome;detection of nutrient;positive regulation of TORC1 signaling;insulin receptor signaling pathway;phosphatidylinositol 3-kinase signaling	vacuole or lysosome;perception of nutrients and nutritional adaptation;insulin receptor signalling pathway	TSC2;TSC1;TBC1D7	None	Insulin activates mTORC1 by inducing dissociation of the TSC complex from the lysosome. Insulin and amino acids independently regulate localization of the TSC complex and mTORC1 to the lysosome and Rheb.	None
Phosphatidylinositol 4-kinase complex	P42356;Q86TV6;Q8IYD1;Q9BYI3	5297;145567;23708;84668	plasma membrane;myelination;phosphatidylinositol biosynthetic process	eukaryotic plasma membrane / membrane attached	PI4KA;TTC7B;GSPT2;FAM126A	"The phosphatidylinositol 4-kinase complex is composed of PI4KA, EFR3 (EFR3A or EFR3B), TTC7 (TTC7A or TTC7B) and FAM126 (FAM126A or FAM126B)."	None	Hypomyelination and congenital cataract (HCC) is caused by mutations in FAM126A.
HUSH complex	Q8NEY8;Q99549;Q9UK61	51535;54737;23272	nucleus;gene silencing;chromatin binding	nucleus	PPHLN1;MPHOSPH8;FAM208A	None	The HUSH complex mediates epigenetic regulation of both endogenous and viral genes at heterochromatic loci marked by H3K9me3.	None
Gamma-tubulin complex	P23258;Q96CW5;Q96RT7;Q96RT8;Q9BSJ2;Q9UGJ1	7283;10426;85378;114791;10844;27229	microtubule nucleation;centrosome	centrosome	TUBG1;TUBGCP3;TUBGCP6;TUBGCP5;TUBGCP2;TUBGCP4	None	None	None
MMXD complex	O76071;P05141;P18074;Q96T76;Q9Y3D0	9391;292;2068;64210;51647	mitotic spindle;spindle assembly;chromosome segregation	spindle pole body/centrosome and microtubule cycle;chromosome segregation/division	CIAO1;SLC25A5;ERCC2;MMS19;FAM96B	None	None	"Findings suggest that abnormalities in the function of the MMXD complex due to the XPD mutations lead to aneuploidy and/or cell death, contributing at least partly to the phenotypes such as a high incidence of skin tumors in XP6BE and XPCS-2 patients."
MMS19 complex	O76071;Q96T76;Q9H6Q4;Q9Y3D0	9391;64210;64428;51647	cytoplasm;DNA replication;DNA repair	cytoplasm;DNA synthesis and replication;DNA repair	CIAO1;MMS19;NARFL;FAM96B	None	None	None
CIA2B-CIA1-MMS19 complex	O76071;Q96T76;Q9Y3D0	9391;64210;51647	CIA complex;protein maturation;iron-sulfur cluster assembly	None	CIAO1;MMS19;FAM96B	None	"CIA1 and CIA2B assemble with MMS19, forming the so-called CIA targeting complex that is involved in the biogenesis of the majority of cytosolic and nuclear Fe/S proteins."	None
"Ubiquitin E3 ligase (CUL1, FBXO10, SKP1)"	P63208;Q13616;Q9UK96	6500;8454;26267	positive regulation of apoptotic process;ubiquitin-dependent protein catabolic process	proteasomal degradation (ubiquitin/proteasomal pathway)	SKP1;CUL1;FBXO10	None	FBXO10 is a component of a ubiquitin ligase that can target BCL2 protein for degradation.	None
"Ubiquitin E3 ligase (CUL1, FBXO6, RBX1, SKP1)"	P62877;P63208;Q13616;Q9NRD1	9978;6500;8454;26270	ERAD pathway;glycoprotein catabolic process;ubiquitin-dependent protein catabolic process	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;CUL1;FBXO6	None	"A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates."	None
"Ubiquitin E3 ligase (CUL1, FBXO17, RBX1, SKP1)"	P62877;P63208;Q13616;Q96EF6	9978;6500;8454;115290	ERAD pathway;glycoprotein catabolic process;ubiquitin-dependent protein catabolic process	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;CUL1;FBXO17	None	"A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates."	None
"Ubiquitin E3 ligase (CUL1, FBXO27, RBX1, SKP1)"	P62877;P63208;Q13616;Q8NI29	9978;6500;8454;126433	ERAD pathway;glycoprotein catabolic process;ubiquitin-dependent protein catabolic process	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;CUL1;FBXO27	None	"A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates."	None
"Ubiquitin E3 ligase (CUL1, FBXO44, RBX1, SKP1)"	P62877;P63208;Q13616;Q9H4M3	9978;6500;8454;93611	ubiquitin-dependent protein catabolic process	proteasomal degradation (ubiquitin/proteasomal pathway)	RBX1;SKP1;CUL1;FBXO44	None	"A family of ubiquitin ligase subunits  (FBXO2, FBXO6, FBXO17, FBXO27, and FBXO44) target glycoproteins through their attached glycans. Each family member has differing specificity for glycosylated substrates. In contrast to other family members, FBXO44 showed no significant binding to any of the 200 glycans tested."	None
"PELI1-IRAK4-IRAK1-TRAF6 complex, IL-1-induced"	P51617;Q96FA3;Q9NWZ3;Q9Y4K3	3654;57162;51135;7189	interleukin-1-mediated signaling pathway	None	IRAK1;PELI1;IRAK4;TRAF6	None	"The PELI1-IRAK-IRAK4-TRAF6 signaling complex is likely to be intermediate, located between the IL-1 receptor complex and the TAK1 complex in the IL-1 pathway."	None
FBXW7-CDX2-GSK3B complex	P49841;Q969H0;Q99626	2932;55294;1045	protein ubiquitination involved in ubiquitin-dependent protein catabolic process;SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	None	GSK3B;FBXW7;CDX2	None	"Fbw7 targets CDX2 for ubiquitin-mediated proteasome degradation in a GSK3-beta-dependent manner. GSK3-beta, a serine/threonine kinase, may phosphorylate CDX2 in its CPD (Cdc4-phosphodegron) motifs leading to its degradation by Fbw7."	The deregulated expression of CDX2 is often observed in colon cancers.
CTNNB1-FERMT2-TCF7L2 complex	P35222;Q96AC1;Q9NQB0	1499;10979;6934	nucleus;positive regulation of Wnt signaling pathway	nucleus	CTNNB1;FERMT2;TCF7L2	None	None	None
CTNNB1-FERMT2-YBX1 complex	P35222;P67809;Q96AC1	1499;4904;10979	"positive regulation of ERBB signaling pathway;regulation of transcription, DNA-templated;cytoplasm;nucleus"	transcriptional control;cytoplasm;nucleus	CTNNB1;YBX1;FERMT2	None	None	High Kindlin-2 (FERMT2) expression is correlated with high tumor grade and poor prognosis in glioma patients.
FGF1-FGFR1-ITGB3 complex	P05106;P05230;P11362	3690;2246;2260	positive regulation of ERK1 and ERK2 cascade;fibroblast growth factor receptor signaling pathway	FGF-receptor signalling pathway	ITGB3;FGF1;FGFR1	None	Results suggest that the simultaneous binding of FGFR1 and Integrin beta-3 to FGF1 occurs during FGF signaling.	None
EED-EZH2-PHF19 complex	O75530;Q15910;Q5T6S3	8726;2146;26147	nucleus	nucleus	EED;EZH2;PHF19	None	"hPCL3 (PHF19) encodes a long isoform, hPCL3L and a smaller isoform, hPCL3S. Both isoforms are widely co-expressed at high levels in medulloblastoma."	Both isoforms of hPCL3 (PHF19) are widely co-expressed at high levels in medulloblastoma.
ELN-FBLN2-FBN1 complex	P15502;P35555;P98095	2006;2200;2199	microfibril binding	None	ELN;FBN1;FBLN2	None	Fibulins 2 and Fibulin 5 can act as adaptors between Fibrillin-1 and (Tropo-) elastin.	None
ELN-FBLN5-FBN1 complex	P15502;P35555;Q9UBX5	2006;2200;10516	microfibril binding	None	ELN;FBN1;FBLN5	None	Fibulins 2 and Fibulin 5 can act as adaptors between Fibrillin-1 and (Tropo-) elastin.	None
CTTN-FER-PTK2 complex	P16591;Q05397;Q14247	2241;5747;2017	regulation of cell morphogenesis	None	FER;PTK2;CTTN	None	Results suggest that Fer-mediated phosphorylation of specific FAK tyrosine residues may lead to membrane protrusions even in non-adherent conditions.	None
ILK-LIMS1-PARVA complex	P48059;Q13418;Q9NVD7	3987;3611;55742	cell migration;apoptotic process;regulation of cell shape;cell-matrix adhesion	cell migration;apoptosis (type I programmed cell death);cell-matrix adhesion	LIMS1;ILK;PARVA	Experiments in mice (PMID: 18480182) have shown the existance of ILK-LIMS1-PARVA complex and ILK-LIMS2-PARVA complex.	"The PINCH-1- integrin-linked kinase (ILK)- -parvin (PIP) complex plays important roles in the regulation of glomerular cell behavior, including podocyte shape change, apoptosis, and mesangial fibronectin matrix deposition.DEX partially stimulates hMSC migration by the expression of beta1-integrin through formation of a ILK-LIMS1/2-PARVA complex."	None
ILK-LIMS2-PARVA complex	Q13418;Q7Z4I7;Q9NVD7	3611;55679;55742	cell migration;regulation of cell shape;cell-matrix adhesion	cell migration;cell-matrix adhesion	ILK;LIMS2;PARVA	Experiments in mice (PMID: 18480182) have shown the existance of ILK-LIMS1-PARVA complex and ILK-LIMS2-PARVA complex with different functions.	Overexpression of PINCH-2 in mesangial cells resulted in displacement of PINCH-1 from the PIP complex but impaired neither mesangial cell spreading nor fibronectin matrix deposition.DEX partially stimulates hMSC migration by the expression of beta1-integrin through formation of a ILK-LIMS1/2-PARVA complex.	None
FAK\u2013p130Cas\u2013MT1 complex	P50281;P56945;Q05397	4323;9564;5747	regulation of extracellular matrix disassembly	None	MMP14;BCAR1;PTK2	None	Invasive matrix degradation at focal adhesions occurs via protease recruitment by the FAK\u2013p130Cas\u2013MT1 complex	Disruption of the FAK\u2013p130Cas\u2013MT1 complex impairs tumor cell invasion in vitro
MAPK1-PTK2-PXN complex	P28482;P49023;Q05397	5594;5829;5747	cell migration;wound healing	cell migration	MAPK1;PXN;PTK2	None	The growth factor proepithelin promotes paxillin activation and the formation of the MAPK3-PTK2-PXN complex.	None
Robo4\u2013paxillin complex	P49023;Q8WZ75	5829;54538	regulation of vasculogenesis	None	PXN;ROBO4	None	Formation of a Robo4\u2013paxillin complex at the cell surface blocks activation of the small GTPase Arf6. Blocking Arf6 activity promotes vascular stability.	None
ARHGEF7-GIT2-PAK1 complex	Q13153;Q14155;Q14161	5058;8874;9815	regulation of T cell activation;T cell receptor signaling pathway	None	PAK1;ARHGEF7;GIT2	None	None	None
AKT1-FOXO1-WDFY2 complex	P31749;Q12778;Q96P53	207;2308;115825	positive regulation of adipose tissue development	None	AKT1;FOXO1;WDFY2	None	WDFY2 binds Akt1 and Foxo1 and facilitates Foxo1 Ser253 phosphorylation by insulin-stimulated Akt1.	None
PRKCZ-VAMP2-WDFY2 complex	P63027;Q05513;Q96P53	6844;5590;115825	synaptic vesicle recycling	vesicle recycling	VAMP2;PRKCZ;WDFY2	None	The complex may be involved in vesicle cycling in various secretory pathways.	None
FOXP3-TRIM28-ZFP90 complex	Q13263;Q8TF47;Q9BZS1	10155;146198;50943	"chromatin remodeling;negative regulation of transcription, DNA-templated"	transcription repression	TRIM28;ZFP90;FOXP3	None	"In human regulatory T cells, a specific splice form of ZFP90 couples FOXP3 to a repressive chromatin-remodeling complex that includes the adaptor TRIM28.There is no sequence homologous with the unique C-terminal sequence of ZFP90 from the FOXP3-TRIM28-ZFP90 complex in the mouse genome."	"FOXP3 mutations in humans with immune dysfunction, polyendocrinopathy, enteropathy, X-linked syndrome, leads to the rapid onset of fatal autoimmune lymphoproliferative disease."
AJUBA-PRMT5-SNAI1 complex	O14744;O95863;Q96IF1	10419;6615;84962	nuclear transcriptional repressor complex	None	PRMT5;SNAI1;AJUBA	The AJUBA protein functions as an adaptor to bridge SNAIL and PRMT5 proteins.	"When AJUBA, SNAIL, and PRMT5 are coexpressed, a significant amount of the PRMT5 protein is relocated to the nucleus and colocalizes with nuclear SNAIL and AJUBA.The AJUBA-PRMT5-SNAI1 complex binds to the endogenous promoter of E-cadherin and downregulates  E-cadherin gene expression."	None
PRKCZ-SQSTM-TRAF6 complex	Q05513;Q13501;Q9Y4K3	5590;8878;7189	regulation of NIK/NF-kappaB signaling	None	PRKCZ;SQSTM1;TRAF6	None	Results provide evidence indicating that Ajuba is a new cytosolic component of the IL-1 signaling pathway modulating IL-1-induced NFkappaB activation by influencing the assembly and activity of the PRKCZ-SQSTM-TRAF6 signaling complex.	None
MYC-TRRAP-KAT2A complex	P01106;Q92830;Q9Y4A5	4609;2648;8295	"chromatin remodeling;histone acetylation;transcription, DNA-templated"	TRANSCRIPTION	MYC;KAT2A;TRRAP	None	TRRAP and hGCN5 are contained in a complex which associates withthe c-Myc N terminus in vivo and after in vitro reconstitution.	None
KAT2A-TRRAP complex	Q92830;Q9Y4A5	2648;8295	"histone acetylation;transcription, DNA-templated"	TRANSCRIPTION	KAT2A;TRRAP	None	"hGCN5 (KAT2A) and TRRAP preexist in a complex in mammalian cells. Their interaction does not require c-Myc, and only a small fraction of the hGCN5-TRRAP complexcontains c-Myc."	None
ARHGEF2-MAPK1-MAPK3-PXN complex	P27361;P28482;P49023;Q92974	5595;5594;5829;9181	positive regulation of Rho protein signal transduction;regulation of vascular permeability	None	MAPK3;MAPK1;PXN;ARHGEF2	None	"Cyclic stretches in lung cells induce functional interactions between paxillin, p42/44 MAPK, and GEF-H1."	None
Norrin receptor complex	O75197;O95859;Q00604;Q9ULV1	4041;23554;4693;8322	cell surface receptor signaling pathway;plasma membrane	transmembrane signal transduction;eukaryotic plasma membrane / membrane attached	LRP5;TSPAN12;NDP;FZD4	None	Overexpressed TSPAN12 associates with the Norrin-receptor complex and significantly increases Norrin/beta-catenin but not Wnt/beta-catenin signaling.	None
LRP6-PTH-PTH1R complex	O75581;P01270;Q03431	4040;5741;5745	cell surface receptor signaling pathway involved in cell-cell signaling;plasma membrane	eukaryotic plasma membrane / membrane attached	LRP6;PTH;PTH1R	None	"The authors found that PTH activates  beta-catenin signaling in osteoblasts both in vitro and in vivo by sharing of a coreceptor with Wnt; however, PTH signal acts in a distinct manner from that of the canonical Wnt signaling pathway in that LRP6 forms a complex with PTH and PTH1R. The ternary complex promoted phosphorylation of LRP6, which recruits axin from the cytoplasma, and induces  beta-catenin stabilization."	None
FZD5-LGR5-LRP6 complex	O75473;O75581;Q13467	8549;4040;7855	positive regulation of Wnt signaling pathway;plasma membrane	eukaryotic plasma membrane / membrane attached	LGR5;LRP6;FZD5	None	None	None
BARD1\u2013BRCA1\u2013RAD51 complex	P38398;Q06609;Q99728	672;5888;580	DNA repair;strand invasion;reciprocal DNA recombination	DNA repair	BRCA1;RAD51;BARD1	None	Experiments establish the biological importance of the BRCA1\u2013BARD1\u2013RAD51 complex in DNA damage repair via homologous recombination and provide cellular evidence for a role of BRCA1\u2013BARD1 in the DNA strand invasion step of homologous recombination.	"One mutation (K140N) in BARD1, found in two patients with colorectal adenocarcinoma, attenuated the affinity of BRCA1\u2013BARD1 for RAD51 and also compromised the ability of the tumour suppressor complex to enhance D-loop formation and synaptic complex assembly."
"Isocitrate dehydrogenase [NADP], mitochondrial"	P48735	3418	mitochondrion;isocitrate metabolic process	mitochondrion	IDH2	None	"The results show that loss of SIRT3 increases acetylation of IDH2 at lysine 413 (IDH2-K413-Ac), thereby decreasing its enzymatic activity by reducing IDH2 dimer formation."	"Metabolically, expression of IDH2 (K413Q) alters cancer cell metabolism and results in accumulation of ROS."
"Isocitrate dehydrogenase [NAD], mitochondrial"	O43837;P50213;P51553	3420;3419;3421	isocitrate metabolic process;NAD binding;mitochondrion;metal ion binding;tricarboxylic acid cycle	"NAD/NADP binding;mitochondrion;metal binding;tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)"	IDH3B;IDH3A;IDH3G	None	"The allosteric regulation of the alpha-2-beta-gamma heterotetramer is through the gamma subunit not the beta subunit.The gamma subunit plays the regulatory role to activate the holoenzyme, and the beta subunit the structural role to facilitate the assembly of the holoenzyme."	None
NG2-galectin-3-alpha3beta1-integrin complex	P05556;P17931;P26006;Q6UVK1	3688;3958;3675;1464	regulation of angiogenesis	None	ITGB1;LGALS3;ITGA3;CSPG4	None	None	None
ARTN-GFRA3-RET comples	O60609;P07949;Q5T4W7	2676;5979;9048	nervous system development	nervous system	GFRA3;RET;ARTN	None	None	None
Idas-Geminin-Cdt1 complex	D6RGH6;O75496;Q9H211	345643;51053;81620	regulation of DNA replication	None	MCIDAS;GMNN;CDT1	None	None	None
REP-RGGT-Rab complex	P20336;P24386;Q92696	5864;1121;5875	regulation of protein geranylgeranylation	None	RAB3A;CHM;RABGGTA	None	None	None
C2ORF3-Prp43-TFIP11 complex	O43143;P16383;Q9UBB9	1665;6936;None	"regulation of alternative mRNA splicing, via spliceosome"	None	DHX15;GCFC2;TFIP11	None	None	None
BOLA2-GLRX3 complex	O76003;Q9H3K6	10539;107984053	iron ion homeostasis	None	GLRX3;BOLA2	None	Results suggest that the BOLA2-GLRX3 complex is conserved in higher eukaryotes and may play a role in signaling cellular iron status in humans.	None
GATB-GATC-QRSL1 complex	O43716;O75879;Q9H0R6	283459;5188;55278	glutamyl-tRNA aminoacylation;mitochondrion;glutaminyl-tRNAGln biosynthesis via transamidation	mitochondrion	GATC;GATB;QRSL1	None	None	None
BICD2-dynein-dynactin complex	O14576;Q14203;Q8TD16	1780;1639;23299	regulation of mitotic spindle organization	None	DYNC1I1;DCTN1;BICD2	Disease-related point mutations in BICD2 increase binding to dynein/dynactin and motility (PMID: 28883039).	None	"OMIM:615290 Spinal muscular atrophy, lower extremity-predominant, 2; SMALED2"
CTNNB1-GID8 complex	P35222;Q9NWU2	1499;54994	nucleus;canonical Wnt signaling pathway	nucleus	CTNNB1;GID8	None	GID8 (TWA1) is a regulator of the Wnt pathway promoting colorectal tumorigenesis by facilitating beta-catenin nuclear retention.	GID8 (TWA1) is significantly upregulated in human CRC tissues and correlates with a poor prognosis for CRC patients.
AXIN1-GID8-GSK3B complex	O15169;P49841;Q9NWU2	8312;2932;54994	canonical Wnt signaling pathway;cytoplasm	cytoplasm	AXIN1;GSK3B;GID8	None	"GID8 (TWA1) is a regulator of the Wnt pathway promoting colorectal tumorigenesis by facilitating beta-catenin nuclear retention.Data indicate that in the absence of Wnt signal, GID8 is targeted by the Axin complex for ubiquitination and degradation."	GID8 (TWA1) is significantly upregulated in human CRC tissues and correlates with a poor prognosis for CRC patients.
"Serine-palmitoyltransferase (SPTLC1, SPTLC2) complex"	O15269;O15270	10558;9517	None	None	SPTLC1;SPTLC2	None	Serine-palmitoyltransferase (SPT) catalyzes the rate-limiting step of the de novo synthesis of sphingolipids.	None
"Serine-palmitoyltransferase (SPTLC1, SPTLC2, SPTLC3) complex"	O15269;O15270;Q9NUV7	10558;9517;55304	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	endoplasmic reticulum	SPTLC1;SPTLC2;SPTLC3	None	"SPT (serine palmitoyltransferase) catalyses the rate-limiting step for the de novo synthesis of sphingolipids. It is concluded that the functional SPT is not a dimer, but a higher organized complex, composed of three distinct subunits (SPTLC1, SPTLC2 and SPTLC3) with a molecular mass of 480 kDa. The stoichiometry of SPTLC2 and SPTLC3 seems not to be fixed and is probably changed dynamically in dependence of the tissue specific SPTLC2 and SPTLC3 expression levels. A model of an octameric SPT structure is proposed."	None
"Serine-palmitoyltransferase (SPTLC1, SPTLC3, ssSPTb) complex"	O15269;Q8NFR3;Q9NUV7	10558;165679;55304	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	endoplasmic reticulum	SPTLC1;SPTSSB;SPTLC3	None	"Serine palmitoyltransferase (SPT) catalyzes the first committed step in sphingolipid biosynthesis. The two small subunit isoforms of SPT, ssSPTa and ssSPTb, share a conserved hydrophobic central domain predicted to reside in the membrane, and each interacts with both hLCB1 and hLCB2. The resulting four SPT isozymes have distinct Acyl-CoA preferences and synthesize different LCBs ( long-chain bases). The most active and selective isozyme was hLCB1-hLCB2a-ssSPTa showing a strong preference for C16-CoA . The hLCB1-hLCB2b-ssSPTa isozyme used C14-CoA as well. The hLCB1-hLCB2a-ssSPTb enzyme showed a clear preference for C18-CoA, whereas the hLCB1-hLCB2b-ssSPTb multimer displayed an ability to use a broader range of acyl-CoAs, without apparent preference. Isozymes containing the ssSPTb subunit preferred longer acyl-CoAs."	HSAN1 (Hereditary sensory autonomic neuropathy 1) is the result of dominant mutations in hLCB1.It has been presumed that these mutations lead to a 50%  decrease in SPT activity in all tissues.
"Serine-palmitoyltransferase (SPTLC1, SPTLC3, ssSPTa) complex"	O15269;Q969W0;Q9NUV7	10558;171546;55304	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	endoplasmic reticulum	SPTLC1;SPTSSA;SPTLC3	None	"Serine palmitoyltransferase (SPT) catalyzes the first committed step in sphingolipid biosynthesis. The two small subunit isoforms of SPT, ssSPTa and ssSPTb, share a conserved hydrophobic central domain predicted to reside in the membrane, and each interacts with both hLCB1 and hLCB2. The resulting four SPT isozymes have distinct Acyl-CoA preferences and synthesize different LCBs ( long-chain bases). The most active and selective isozyme was hLCB1-hLCB2a-ssSPTa showing a strong preference for C16-CoA . The hLCB1-hLCB2b-ssSPTa isozyme used C14-CoA as well. The hLCB1-hLCB2a-ssSPTb enzyme showed a clear preference for C18-CoA, whereas the hLCB1-hLCB2b-ssSPTb multimer displayed an ability to use a broader range of acyl-CoAs, without apparent preference. Isozymes containing the ssSPTb subunit preferred longer acyl-CoAs."	HSAN1 (Hereditary sensory autonomic neuropathy 1) is the result of dominant mutations in hLCB1.It has been presumed that these mutations lead to a 50% decrease in SPT activity in all tissues.
"Serine-palmitoyltransferase (SPTLC1, SPTLC2, ssSPTb) complex"	O15269;O15270;Q8NFR3	10558;9517;165679	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	endoplasmic reticulum	SPTLC1;SPTLC2;SPTSSB	None	"Serine palmitoyltransferase (SPT) catalyzes the first committed step in sphingolipid biosynthesis. The two small subunit isoforms of SPT, ssSPTa and ssSPTb, share a conserved hydrophobic central domain predicted to reside in the membrane, and each interacts with both hLCB1 and hLCB2. The resulting four SPT isozymes have distinct Acyl-CoA preferences and synthesize different LCBs ( long-chain bases). The most active and selective isozyme was hLCB1-hLCB2a-ssSPTa showing a strong preference for C16-CoA . The hLCB1-hLCB2b-ssSPTa isozyme used C14-CoA as well. The hLCB1-hLCB2a-ssSPTb enzyme showed a clear preference for C18-CoA, whereas the hLCB1-hLCB2b-ssSPTb multimer displayed an ability to use a broader range of acyl-CoAs, without apparent preference. Isozymes containing the ssSPTb subunit preferred longer acyl-CoAs."	HSAN1 (Hereditary sensory autonomic neuropathy 1) is the result of dominant mutations in hLCB1.It has been presumed that these mutations lead to a 50% decrease in SPT activity in all tissues.
"Serine-palmitoyltransferase (SPTLC1, SPTLC2, ssSPTa) complex"	O15269;O15270;Q969W0	10558;9517;171546	endoplasmic reticulum;palmitoyltransferase activity;palmitoyltransferase complex;sphingolipid biosynthetic process	endoplasmic reticulum	SPTLC1;SPTLC2;SPTSSA	None	"Serine palmitoyltransferase (SPT) catalyzes the first committed step in sphingolipid biosynthesis. The two small subunit isoforms of SPT, ssSPTa and ssSPTb, share a conserved hydrophobic central domain predicted to reside in the membrane, and each interacts with both hLCB1 and hLCB2. The resulting four SPT isozymes have distinct Acyl-CoA preferences and synthesize different LCBs ( long-chain bases). The most active and selective isozyme was hLCB1-hLCB2a-ssSPTa showing a strong preference for C16-CoA . The hLCB1-hLCB2b-ssSPTa isozyme used C14-CoA as well. The hLCB1-hLCB2a-ssSPTb enzyme showed a clear preference for C18-CoA, whereas the hLCB1-hLCB2b-ssSPTb multimer displayed an ability to use a broader range of acyl-CoAs, without apparent preference. Isozymes containing the ssSPTb subunit preferred longer acyl-CoAs."	HSAN1 (Hereditary sensory autonomic neuropathy 1)  is the result of dominant mutations in hLCB1.It has been presumed that these mutations lead to a 50% decrease in SPT activity in all tissues.
JUN-FBW7-PRR7 complex	P05412;Q8TB68;Q969H0	3725;80758;55294	regulation of JUN kinase activity	None	JUN;PRR7;FBXW7	None	PRR7 inhibits the ubiquitination of c-Jun by FBW7. This increases c-Jun-dependent transcriptional activity and promotes neuronal death.	None
ORMDL3-SPTLC1 complex	O15269;Q8N138	10558;94103	negative regulation of sphingolipid biosynthetic process	None	SPTLC1;ORMDL3	None	"Orm proteins as negative regulators of sphingolipid synthesis form a conserved complex with serine palmitoyltransferase, the first and rate-limiting enzyme in sphingolipid production. Phosphorylation of Orm proteins relieves their inhibitory activity when sphingolipid production is disrupted. Changes in ORM gene expression or mutations to their phosphorylation sites cause dysregulation of sphingolipid metabolism. The authors describe the SPOTS complex (= Serine-palmitoyltransferase LBC1/2)-(ORMDL1/2)-TSC3-SAC1 complex) in S.cerevisiae and conclude via analysis in human cells (mass spectrometry, immunoprecipitations) that the yeast functional complex between Orm proteins (= ORMDL in humans) and serine palmitoyltransferase is also conserved in human cells."	None
ProTalpha C2 complex	P06454;P49006;P60709;Q01105	5757;65108;60;6418	negative regulation of apoptotic process;cell proliferation	anti-apoptosis	PTMA;MARCKSL1;ACTB;SET	None	None	None
